id,Temperature,Humidity,Wind_Speed,Precipitation(%),Cloud_Cover,Atmospheric_Pressure,UV_Index,Season,Visibility(km),Location,Weather_Type,Humidity_Normalized
47,33,66,9.0,18,partly cloudy,1014.34,3,Autumn,6.0,mountain,Cloudy,0.5168539325842697
48,26,25,2.5,14,partly cloudy,1010.34,8,Winter,5.0,mountain,Sunny,0.056179775280898875
49,26,91,9.5,82,overcast,1019.42,3,Summer,4.0,mountain,Rainy,0.797752808988764
50,-2,98,18.5,86,overcast,981.26,0,Winter,3.5,mountain,Snowy,0.8764044943820225
51,17,90,11.0,98,overcast,1017.49,3,Winter,4.0,inland,Rainy,0.7865168539325843
52,25,55,8.5,37,partly cloudy,1014.49,4,Summer,7.5,inland,Cloudy,0.39325842696629215
53,-4,96,20.0,88,partly cloudy,990.72,1,Winter,4.5,mountain,Snowy,0.8539325842696629
54,-1,87,14.0,78,overcast,984.11,0,Winter,4.0,inland,Snowy,0.7528089887640449
55,-5,94,5.5,55,overcast,991.65,0,Winter,3.0,inland,Snowy,0.8314606741573034
56,22,95,13.0,90,overcast,997.97,3,Autumn,2.5,coastal,Rainy,0.8426966292134831
57,41,85,9.0,101,overcast,1017.89,3,Summer,7.5,mountain,Cloudy,0.7303370786516854
58,33,41,0.0,4,clear,1018.56,7,Winter,9.5,coastal,Sunny,0.23595505617977527
59,31,70,0.5,69,overcast,1074.07,3,Spring,12.5,inland,Sunny,0.5617977528089888
60,16,84,18.5,54,overcast,996.12,0,Spring,3.0,coastal,Rainy,0.7191011235955056
61,10,64,14.0,18,overcast,1011.96,1,Spring,8.5,coastal,Cloudy,0.4943820224719101
62,29,63,6.0,68,overcast,992.45,0,Winter,3.0,mountain,Rainy,0.48314606741573035
63,15,55,1.5,32,partly cloudy,1009.01,2,Autumn,5.5,inland,Cloudy,0.39325842696629215
64,3,75,46.5,87,overcast,996.85,5,Winter,4.5,inland,Snowy,0.6179775280898876
65,24,52,9.0,29,partly cloudy,1007.84,1,Autumn,8.0,mountain,Cloudy,0.3595505617977528
66,25,85,9.0,67,overcast,995.4,1,Winter,2.0,mountain,Rainy,0.7303370786516854
67,25,89,1.5,87,partly cloudy,1017.16,11,Summer,6.5,mountain,Sunny,0.7752808988764045
68,24,47,8.0,17,clear,1025.22,5,Summer,6.0,mountain,Sunny,0.30337078651685395
69,2,97,2.0,89,partly cloudy,993.14,0,Winter,3.0,inland,Snowy,0.8651685393258427
70,21,54,3.0,17,clear,1026.15,7,Summer,8.0,mountain,Sunny,0.38202247191011235
71,2,81,13.5,57,overcast,983.36,1,Winter,4.0,inland,Snowy,0.6853932584269663
72,21,75,3.5,41,partly cloudy,1017.74,2,Winter,8.0,mountain,Cloudy,0.6179775280898876
73,11,52,6.0,97,overcast,1063.39,7,Summer,12.5,inland,Snowy,0.3595505617977528
74,31,62,6.5,84,overcast,1013.61,0,Spring,4.5,inland,Rainy,0.47191011235955055
75,33,31,6.5,18,clear,1022.53,7,Summer,8.5,coastal,Sunny,0.12359550561797752
76,34,47,5.0,4,clear,1027.53,9,Spring,10.0,inland,Sunny,0.30337078651685395
77,21,66,13.5,29,partly cloudy,1018.98,3,Autumn,8.5,mountain,Cloudy,0.5168539325842697
78,28,68,18.0,90,overcast,992.83,3,Winter,5.0,mountain,Rainy,0.5393258426966292
79,33,62,10.0,83,partly cloudy,1009.48,1,Summer,3.5,inland,Rainy,0.47191011235955055
80,25,96,6.0,90,overcast,1006.67,0,Autumn,4.5,mountain,Rainy,0.8539325842696629
81,27,73,9.5,47,partly cloudy,1017.82,1,Summer,7.0,coastal,Cloudy,0.5955056179775281
82,49,75,11.5,82,partly cloudy,1029.09,10,Summer,7.0,coastal,Sunny,0.6179775280898876
83,-5,73,12.0,63,partly cloudy,983.83,1,Winter,4.5,inland,Snowy,0.5955056179775281
84,31,62,5.5,99,overcast,1019.92,0,Summer,4.5,mountain,Rainy,0.47191011235955055
85,2,91,6.5,92,overcast,999.46,0,Winter,2.5,inland,Snowy,0.797752808988764
86,32,35,2.5,63,partly cloudy,1160.48,2,Winter,0.0,coastal,Sunny,0.16853932584269662
87,-7,78,10.0,96,overcast,999.99,7,Winter,1.0,inland,Snowy,0.651685393258427
88,27,43,1.0,8,clear,1022.48,9,Summer,9.0,mountain,Sunny,0.25842696629213485
89,12,56,9.5,19,partly cloudy,1014.4,4,Winter,6.5,mountain,Cloudy,0.4044943820224719
90,-7,93,9.0,60,overcast,995.63,1,Winter,4.0,inland,Snowy,0.8202247191011236
91,15,81,28.5,71,partly cloudy,1008.0,4,Winter,6.0,inland,Cloudy,0.6853932584269663
92,30,64,6.0,67,partly cloudy,1009.12,3,Summer,4.0,coastal,Rainy,0.4943820224719101
93,19,93,14.5,57,overcast,1018.44,0,Winter,4.0,inland,Rainy,0.8202247191011236
94,14,44,9.0,11,partly cloudy,853.01,14,Winter,3.5,coastal,Rainy,0.2696629213483146
95,32,38,11.0,15,partly cloudy,824.71,9,Autumn,12.5,inland,Snowy,0.20224719101123595
96,17,88,18.0,83,partly cloudy,1026.94,0,Spring,5.5,mountain,Sunny,0.7640449438202247
97,23,88,11.5,65,overcast,1000.74,1,Winter,5.0,mountain,Rainy,0.7640449438202247
98,28,35,9.5,0,partly cloudy,1023.62,9,Winter,10.0,coastal,Sunny,0.16853932584269662
99,-4,87,5.0,54,overcast,981.02,1,Winter,4.5,mountain,Snowy,0.7528089887640449
100,31,72,17.0,96,partly cloudy,1013.85,13,Winter,3.5,inland,Cloudy,0.5842696629213483
101,40,66,8.0,5,clear,1019.82,5,Autumn,5.5,mountain,Sunny,0.5168539325842697
102,20,24,3.0,6,clear,1013.68,9,Winter,6.5,mountain,Sunny,0.0449438202247191
103,-7,61,2.5,99,overcast,994.34,1,Winter,2.5,inland,Snowy,0.4606741573033708
104,-3,82,0.0,65,overcast,991.66,0,Winter,1.5,inland,Snowy,0.6966292134831461
105,22,65,6.0,14,partly cloudy,1010.17,8,Autumn,7.0,coastal,Sunny,0.5056179775280899
106,33,79,4.5,43,overcast,1007.94,1,Spring,7.0,coastal,Cloudy,0.6629213483146067
107,29,47,8.5,2,clear,1027.33,11,Summer,5.5,inland,Sunny,0.30337078651685395
108,13,80,15.5,59,overcast,1012.06,0,Autumn,3.5,mountain,Rainy,0.6741573033707865
109,27,39,5.0,16,clear,1021.61,5,Autumn,5.0,mountain,Sunny,0.21348314606741572
110,38,75,0.5,79,overcast,1057.69,0,Summer,10.0,inland,Rainy,0.6179775280898876
111,20,48,9.5,6,clear,1015.16,6,Autumn,8.5,mountain,Sunny,0.3146067415730337
112,19,82,7.0,85,partly cloudy,1008.5,1,Summer,3.5,coastal,Rainy,0.6966292134831461
113,18,70,5.0,94,overcast,1012.87,2,Spring,3.5,mountain,Rainy,0.5617977528089888
114,18,60,12.5,42,overcast,822.66,2,Summer,17.5,mountain,Rainy,0.449438202247191
115,2,80,13.5,79,overcast,995.74,1,Winter,1.5,inland,Snowy,0.6741573033707865
116,1,81,9.5,63,overcast,983.99,1,Winter,3.5,mountain,Snowy,0.6853932584269663
117,22,69,1.0,19,partly cloudy,1011.5,2,Autumn,6.0,mountain,Cloudy,0.550561797752809
118,-10,70,2.5,56,overcast,989.29,1,Winter,4.0,mountain,Snowy,0.5617977528089888
119,32,61,5.5,53,overcast,995.09,2,Summer,4.0,inland,Rainy,0.4606741573033708
120,41,29,8.0,17,clear,1011.53,11,Spring,10.0,inland,Sunny,0.10112359550561797
121,-1,99,2.5,72,overcast,998.51,0,Winter,2.0,mountain,Snowy,0.8876404494382022
122,31,65,1.5,18,overcast,1008.47,2,Summer,9.0,inland,Cloudy,0.5056179775280899
123,19,62,1.0,14,partly cloudy,1016.5,2,Autumn,5.5,coastal,Cloudy,0.47191011235955055
124,-3,92,28.0,99,partly cloudy,987.7,1,Winter,4.5,mountain,Snowy,0.8089887640449438
125,-1,83,18.0,73,overcast,983.46,0,Winter,1.5,inland,Snowy,0.7078651685393258
126,3,70,2.0,81,overcast,984.9,1,Winter,2.0,mountain,Snowy,0.5617977528089888
127,0,64,4.5,52,overcast,984.59,1,Winter,1.0,inland,Snowy,0.4943820224719101
128,26,76,9.0,68,overcast,1004.27,3,Spring,3.5,inland,Rainy,0.6292134831460674
129,22,92,19.5,81,overcast,1017.76,0,Winter,4.5,coastal,Rainy,0.8089887640449438
130,20,96,14.0,94,overcast,997.77,0,Summer,4.5,mountain,Rainy,0.8539325842696629
131,23,52,1.0,36,partly cloudy,1017.92,1,Spring,8.5,mountain,Cloudy,0.3595505617977528
132,3,81,2.5,89,overcast,992.78,1,Winter,2.0,mountain,Snowy,0.6853932584269663
133,20,95,16.0,91,overcast,1016.14,0,Summer,2.5,mountain,Rainy,0.8426966292134831
134,-2,91,2.5,83,overcast,982.21,1,Winter,4.0,mountain,Snowy,0.797752808988764
135,29,77,0.5,91,cloudy,934.49,14,Autumn,17.0,inland,Sunny,0.6404494382022472
136,2,77,6.5,75,partly cloudy,998.0,0,Winter,3.0,mountain,Snowy,0.6404494382022472
137,16,67,6.5,45,partly cloudy,1008.69,2,Summer,5.5,coastal,Cloudy,0.5280898876404494
138,46,94,4.0,90,clear,1022.88,10,Spring,12.5,mountain,Sunny,0.8314606741573034
139,-2,92,1.0,71,overcast,998.01,1,Winter,1.5,inland,Snowy,0.8089887640449438
140,20,50,6.5,21,partly cloudy,1013.93,4,Autumn,6.0,inland,Cloudy,0.33707865168539325
141,0,64,10.5,78,overcast,994.62,0,Winter,3.0,mountain,Snowy,0.4943820224719101
142,22,48,6.0,15,clear,1020.0,5,Spring,9.5,inland,Sunny,0.3146067415730337
143,29,50,5.5,13,overcast,1002.04,4,Autumn,8.0,inland,Cloudy,0.33707865168539325
144,4,77,13.0,76,overcast,983.25,1,Winter,2.5,mountain,Snowy,0.6404494382022472
145,40,39,9.5,15,clear,1029.84,8,Autumn,8.0,coastal,Sunny,0.21348314606741572
146,-3,60,8.0,94,overcast,981.56,1,Winter,3.0,inland,Snowy,0.449438202247191
147,33,25,4.0,3,partly cloudy,1027.6,11,Spring,6.5,coastal,Sunny,0.056179775280898875
148,31,87,11.0,54,partly cloudy,995.87,0,Spring,3.5,mountain,Rainy,0.7528089887640449
149,41,72,2.5,26,cloudy,973.08,6,Spring,8.5,inland,Rainy,0.5842696629213483
150,33,77,1.0,22,partly cloudy,1018.78,4,Winter,8.5,mountain,Cloudy,0.6404494382022472
151,-5,68,0.5,96,overcast,992.19,1,Winter,1.5,mountain,Snowy,0.5393258426966292
152,-9,90,1.5,97,overcast,999.08,1,Winter,4.5,mountain,Snowy,0.7865168539325843
153,1,89,7.5,76,partly cloudy,982.22,1,Winter,4.5,inland,Snowy,0.7752808988764045
154,13,62,14.0,13,overcast,1003.74,1,Autumn,9.0,inland,Cloudy,0.47191011235955055
155,13,75,9.5,40,overcast,1005.39,2,Autumn,8.0,inland,Cloudy,0.6179775280898876
156,15,105,7.5,75,overcast,1006.45,10,Summer,4.0,inland,Cloudy,0.9550561797752809
157,31,86,13.5,78,overcast,999.25,3,Winter,4.0,inland,Rainy,0.7415730337078652
158,26,60,11.5,50,partly cloudy,995.67,3,Summer,3.5,inland,Rainy,0.449438202247191
159,44,25,1.0,6,partly cloudy,1016.02,10,Summer,5.5,coastal,Sunny,0.056179775280898875
160,28,93,12.5,50,partly cloudy,997.24,0,Summer,5.0,coastal,Rainy,0.8202247191011236
161,18,88,15.5,88,overcast,997.61,1,Winter,3.5,inland,Rainy,0.7640449438202247
162,30,77,12.0,51,partly cloudy,1007.88,0,Spring,3.5,inland,Rainy,0.6404494382022472
163,24,50,3.5,10,overcast,1017.18,4,Summer,6.5,mountain,Cloudy,0.33707865168539325
164,36,32,6.0,2,clear,1026.15,7,Spring,7.5,coastal,Sunny,0.1348314606741573
165,3,75,10.5,73,overcast,980.47,1,Winter,3.0,mountain,Snowy,0.6179775280898876
166,35,49,9.0,14,clear,1010.52,10,Autumn,7.0,coastal,Sunny,0.3258426966292135
167,26,43,7.0,18,partly cloudy,1024.37,5,Summer,6.0,mountain,Sunny,0.25842696629213485
168,16,59,11.5,37,partly cloudy,1004.12,4,Summer,6.5,mountain,Cloudy,0.43820224719101125
169,38,73,2.5,79,overcast,1034.1,3,Autumn,13.0,mountain,Rainy,0.5955056179775281
170,34,51,9.0,40,overcast,1009.21,4,Spring,6.0,coastal,Cloudy,0.34831460674157305
171,33,88,19.0,98,overcast,998.8,2,Autumn,3.0,mountain,Rainy,0.7640449438202247
172,17,72,20.0,56,overcast,990.4,0,Summer,4.0,mountain,Rainy,0.5842696629213483
173,30,58,1.0,43,overcast,1018.95,2,Winter,6.0,inland,Cloudy,0.42696629213483145
174,17,69,2.0,35,overcast,1009.83,1,Spring,8.5,coastal,Cloudy,0.550561797752809
175,-5,94,9.0,63,overcast,989.82,0,Winter,5.0,mountain,Snowy,0.8314606741573034
176,17,64,19.5,95,overcast,1016.54,2,Spring,5.0,coastal,Rainy,0.4943820224719101
177,-13,60,9.5,18,partly cloudy,931.79,7,Winter,5.5,coastal,Cloudy,0.449438202247191
178,34,88,19.5,73,overcast,1018.01,1,Spring,4.0,inland,Rainy,0.7640449438202247
179,41,90,21.5,103,overcast,1002.15,13,Winter,4.0,coastal,Rainy,0.7865168539325843
180,13,77,5.0,68,cloudy,1021.09,3,Autumn,8.5,inland,Cloudy,0.6404494382022472
181,23,35,3.5,12,clear,1028.43,7,Spring,8.0,inland,Sunny,0.16853932584269662
182,16,96,19.0,57,overcast,1003.05,0,Spring,4.5,inland,Rainy,0.8539325842696629
183,-7,70,8.5,62,overcast,993.19,1,Winter,2.0,mountain,Snowy,0.5617977528089888
184,3,90,9.5,87,overcast,997.83,0,Winter,2.5,mountain,Snowy,0.7865168539325843
185,39,54,0.0,3,clear,1024.65,8,Autumn,9.5,inland,Sunny,0.38202247191011235
186,21,64,19.0,96,partly cloudy,1006.43,0,Winter,4.5,coastal,Rainy,0.4943820224719101
187,38,69,6.5,19,clear,1011.2,5,Spring,8.0,coastal,Sunny,0.550561797752809
188,-6,81,19.5,66,overcast,995.18,0,Winter,1.5,inland,Snowy,0.6853932584269663
189,10,80,16.5,99,overcast,1005.34,3,Spring,3.5,coastal,Rainy,0.6741573033707865
190,23,73,14.5,32,partly cloudy,1002.91,4,Autumn,7.5,mountain,Cloudy,0.5955056179775281
191,38,21,0.0,14,cloudy,960.81,2,Autumn,6.0,mountain,Snowy,0.011235955056179775
192,15,97,12.5,62,overcast,1013.38,2,Winter,3.0,coastal,Rainy,0.8651685393258427
193,20,55,2.0,7,clear,1029.67,9,Spring,9.0,inland,Sunny,0.39325842696629215
194,26,82,18.0,54,partly cloudy,998.36,1,Autumn,3.0,coastal,Rainy,0.6966292134831461
195,23,60,19.5,62,partly cloudy,1014.54,2,Winter,4.5,coastal,Rainy,0.449438202247191
196,26,68,4.0,39,partly cloudy,1016.39,4,Summer,5.5,mountain,Cloudy,0.5393258426966292
197,10,99,16.0,58,overcast,995.85,2,Autumn,1.5,mountain,Rainy,0.8876404494382022
198,20,42,4.0,13,partly cloudy,1028.3,5,Autumn,8.0,mountain,Sunny,0.24719101123595505
199,-2,32,1.5,17,overcast,930.32,1,Winter,11.0,coastal,Rainy,0.1348314606741573
200,-1,94,13.0,74,overcast,981.13,0,Winter,4.0,inland,Snowy,0.8314606741573034
201,28,65,13.5,48,partly cloudy,1013.19,4,Summer,5.5,mountain,Cloudy,0.5056179775280899
202,-10,94,7.5,98,partly cloudy,989.37,1,Winter,4.0,mountain,Snowy,0.8314606741573034
203,41,57,4.0,19,clear,1025.59,10,Spring,6.5,coastal,Sunny,0.4157303370786517
204,34,78,14.5,13,overcast,1014.07,1,Summer,6.0,mountain,Cloudy,0.651685393258427
205,33,30,9.5,7,partly cloudy,1019.11,11,Spring,5.0,coastal,Sunny,0.11235955056179775
206,28,56,8.5,12,partly cloudy,1013.53,1,Winter,7.5,coastal,Cloudy,0.4044943820224719
207,49,64,4.0,61,cloudy,1130.72,14,Winter,0.0,coastal,Cloudy,0.4943820224719101
208,28,77,4.5,68,partly cloudy,1175.6,14,Autumn,0.0,coastal,Snowy,0.6404494382022472
209,34,99,34.0,74,partly cloudy,1016.03,9,Autumn,1.0,inland,Rainy,0.8876404494382022
210,-7,97,4.5,73,overcast,987.68,0,Winter,2.0,mountain,Snowy,0.8651685393258427
212,25,24,9.5,91,overcast,834.02,13,Winter,3.5,inland,Snowy,0.0449438202247191
213,31,100,15.0,90,clear,1019.98,8,Summer,5.0,coastal,Sunny,0.898876404494382
214,19,97,9.0,56,overcast,1015.74,3,Spring,2.0,mountain,Rainy,0.8651685393258427
215,34,97,17.5,76,overcast,1016.2,1,Summer,2.5,coastal,Rainy,0.8651685393258427
216,10,80,17.0,69,overcast,1012.7,3,Summer,1.5,coastal,Rainy,0.6741573033707865
217,28,76,0.5,16,partly cloudy,1018.62,4,Summer,7.5,inland,Cloudy,0.6292134831460674
218,18,74,0.5,39,overcast,1007.53,1,Autumn,8.5,mountain,Cloudy,0.6067415730337079
219,32,63,3.0,46,partly cloudy,1006.96,1,Summer,8.5,inland,Cloudy,0.48314606741573035
220,-7,82,7.5,57,overcast,985.06,0,Winter,2.5,mountain,Snowy,0.6966292134831461
221,22,61,8.5,13,partly cloudy,1009.6,2,Spring,6.5,inland,Cloudy,0.4606741573033708
222,63,86,13.0,75,clear,1027.31,14,Summer,2.5,coastal,Sunny,0.7415730337078652
223,23,78,15.0,60,overcast,991.36,2,Autumn,4.0,inland,Rainy,0.651685393258427
224,27,83,16.0,53,overcast,1003.68,1,Summer,2.5,coastal,Rainy,0.7078651685393258
225,-9,67,13.0,92,overcast,981.36,0,Winter,2.0,mountain,Snowy,0.5280898876404494
226,-10,92,17.0,96,overcast,982.06,1,Winter,4.5,mountain,Snowy,0.8089887640449438
227,10,68,8.0,99,overcast,1014.01,3,Spring,1.5,coastal,Rainy,0.5393258426966292
228,35,33,7.0,5,partly cloudy,1025.51,5,Winter,7.5,coastal,Sunny,0.14606741573033707
230,22,89,12.0,85,partly cloudy,1017.54,11,Winter,2.0,coastal,Cloudy,0.7752808988764045
231,2,86,11.5,64,partly cloudy,999.36,1,Winter,2.5,mountain,Snowy,0.7415730337078652
232,30,71,12.0,92,partly cloudy,992.51,2,Spring,3.0,mountain,Rainy,0.5730337078651685
233,30,55,5.0,31,partly cloudy,1004.15,2,Autumn,6.5,mountain,Cloudy,0.39325842696629215
234,14,68,11.5,11,overcast,1012.85,2,Winter,6.5,coastal,Cloudy,0.5393258426966292
235,19,91,18.5,97,overcast,1011.14,0,Autumn,4.0,inland,Rainy,0.797752808988764
236,34,71,4.0,35,overcast,1001.54,3,Summer,6.5,coastal,Cloudy,0.5730337078651685
237,27,79,14.0,29,partly cloudy,1008.79,1,Summer,7.5,inland,Cloudy,0.6629213483146067
238,8,78,34.5,106,partly cloudy,982.66,11,Winter,3.5,inland,Snowy,0.651685393258427
239,-3,76,10.0,85,overcast,986.77,0,Winter,3.5,mountain,Snowy,0.6292134831460674
240,29,107,0.5,93,partly cloudy,1002.18,8,Spring,10.0,coastal,Cloudy,0.9775280898876404
241,27,54,7.0,11,partly cloudy,1015.78,2,Summer,6.0,coastal,Cloudy,0.38202247191011235
242,22,95,35.5,87,overcast,998.45,11,Winter,4.0,coastal,Rainy,0.8426966292134831
243,24,27,2.0,12,partly cloudy,1015.66,7,Spring,6.0,inland,Sunny,0.07865168539325842
244,33,69,8.0,5,clear,1026.28,9,Autumn,9.5,inland,Sunny,0.550561797752809
245,28,47,11.5,24,partly cloudy,1105.69,9,Autumn,1.5,inland,Sunny,0.30337078651685395
246,32,59,0.5,18,partly cloudy,1016.89,2,Spring,7.0,inland,Cloudy,0.43820224719101125
247,-10,72,2.5,96,overcast,988.45,0,Winter,2.0,mountain,Snowy,0.5842696629213483
248,28,108,7.5,83,partly cloudy,1018.84,1,Summer,4.0,inland,Sunny,0.9887640449438202
249,27,26,9.0,14,partly cloudy,1018.24,5,Winter,7.0,inland,Sunny,0.06741573033707865
250,-9,71,9.5,83,overcast,996.4,1,Winter,3.5,inland,Snowy,0.5730337078651685
251,28,86,9.5,52,overcast,1005.41,3,Autumn,3.0,coastal,Rainy,0.7415730337078652
252,-4,64,1.0,85,overcast,993.69,1,Winter,1.5,inland,Snowy,0.4943820224719101
253,25,51,5.0,18,clear,1019.65,7,Autumn,7.0,coastal,Sunny,0.34831460674157305
254,12,92,20.0,51,overcast,1010.65,3,Spring,2.0,mountain,Rainy,0.8089887640449438
255,-12,22,6.5,71,partly cloudy,1097.74,1,Spring,9.0,coastal,Snowy,0.02247191011235955
256,14,65,6.5,26,partly cloudy,1019.03,1,Autumn,6.5,coastal,Cloudy,0.5056179775280899
257,2,71,11.0,66,overcast,984.83,0,Winter,3.0,mountain,Snowy,0.5730337078651685
258,43,24,7.0,1,clear,1020.87,9,Summer,7.0,inland,Sunny,0.0449438202247191
259,-10,84,5.0,75,overcast,990.82,0,Winter,4.5,mountain,Snowy,0.7191011235955056
260,1,52,13.5,18,overcast,829.86,14,Spring,6.5,coastal,Cloudy,0.3595505617977528
261,25,86,11.0,75,overcast,1006.57,0,Autumn,4.0,coastal,Rainy,0.7415730337078652
262,30,96,4.5,97,partly cloudy,1001.66,1,Summer,5.5,mountain,Cloudy,0.8539325842696629
263,44,94,9.0,109,clear,1024.46,2,Spring,6.5,coastal,Sunny,0.8314606741573034
264,12,89,17.5,75,overcast,997.65,2,Autumn,2.0,inland,Rainy,0.7752808988764045
265,20,48,3.0,10,clear,1019.81,10,Autumn,9.5,inland,Sunny,0.3146067415730337
266,32,71,19.0,92,overcast,1003.24,3,Summer,2.5,mountain,Rainy,0.5730337078651685
267,13,79,11.0,63,overcast,990.71,2,Spring,4.5,coastal,Rainy,0.6629213483146067
268,-24,84,23.5,80,overcast,984.68,0,Winter,1.5,mountain,Snowy,0.7191011235955056
269,22,46,5.0,1,clear,1014.95,11,Summer,7.0,mountain,Sunny,0.29213483146067415
270,25,57,3.5,0,partly cloudy,1016.85,10,Summer,8.5,inland,Sunny,0.4157303370786517
271,-4,69,14.5,56,overcast,994.53,1,Winter,3.0,mountain,Snowy,0.550561797752809
272,-10,72,4.5,72,overcast,1193.57,11,Summer,13.0,mountain,Rainy,0.5842696629213483
273,0,73,4.0,90,partly cloudy,993.09,1,Winter,3.0,inland,Snowy,0.5955056179775281
274,41,33,3.5,5,partly cloudy,1021.88,6,Spring,8.0,coastal,Sunny,0.14606741573033707
275,35,50,7.0,3,clear,1011.22,7,Autumn,7.5,coastal,Sunny,0.33707865168539325
276,14,95,42.5,106,partly cloudy,997.34,6,Summer,4.0,mountain,Rainy,0.8426966292134831
277,23,63,5.0,2,clear,1028.61,9,Winter,9.0,coastal,Sunny,0.48314606741573035
278,34,31,9.5,9,clear,1024.74,10,Spring,5.5,inland,Sunny,0.12359550561797752
279,28,97,12.0,99,partly cloudy,1014.95,2,Winter,2.5,inland,Rainy,0.8651685393258427
280,33,63,8.5,93,overcast,990.33,2,Summer,3.0,coastal,Rainy,0.48314606741573035
